Id,Character,CharacterImage,Dialogue,Chioce1,Chioce2,Choice1Text,Choice2Text,Type,Sound,BGMSound,Note
,,,,,,,,,,,
,Note,,เมื่อเห็นลูกสาวผอ. ทางเข้าโบราณสถาน,,,,,,,,
,,,,,,,,,,,
Ch2_D01_01,เด็กสาว,Director's daughter_smile,สวัสดีจ้ะพี่สาว เจอกันอีกแล้วนะ~~~,Ch2_D01_02,,,,Dialogue,,,
Ch2_D01_02,อเมเลีย,Amelia_disgusting,อ..เอ๋!?...เดี๋ยวนะเมื่อกี้เธอยังอยู่ตรงนู่นเลยนะ..ทำไมเธอถึงมาอยู่ตรงนี้ละ,Ch2_D01_03,,,,Dialogue,,,
Ch2_D01_03,เด็กสาว,Director's daughter_smile,พี่สาวนี่ละก็พูดอะไรก็ไม่รู้  ตัวหนูมีเพียงแค่คนเดียวที่อยู่บนโลกใบนี้นะ...,Ch2_D01_04,,,,Dialogue,,,
Ch2_D01_04,เด็กสาว,Director's daughter_normal,หนูก็คือคนที่พี่พึ่งคุยเมื่อกี้แหละแค่หนูมาถึงที่นี้ก่อนพี่สาวก่อนเฉยๆ~~~,Ch2_D01_05,,,,Dialogue,,,
Ch2_D01_05,เด็กสาว,Director's daughter_smile,พี่สาวก็ไม่รู้ใช่ไหมล่ะว่า ที่โรงอาหารมีตัวหนูนั่งอยู่ หรือเปล่าตอนนี้?,Ch2_D01_06,,,,Dialogue,,,
Ch2_D01_06,เด็กสาว,Director's daughter_smilebad,....จริงไหม?,Ch2_D01_07,,,,Dialogue,,,
Ch2_D01_07,อเมเลีย,Amelia_disgusting,.....,Ch2_D01_08,,,,Dialogue,,,
Ch2_D01_08,เด็กสาว,Director's daughter_smile,ฮ่าๆ พี่สาวไม่ต้องกลัวไปหรอกนะ,Ch2_D01_09,,,,Dialogue,,,
Ch2_D01_09,เด็กสาว,Director's daughter_normal,ถ้าอยากได้คำแนะนำก็เข้ามาคุยกับหนูก็ได้นะ ^^,,,,,Dialogue,girllaughter,,
,,,,,,,,,,,
,Note,,เวลาคุยกับลูกสาวผอ. ทุกครั้ง,,,,,,,,
,,,,,,,,,,,
Ch2_D02_01,เด็กสาว,Director's daughter_normal,อืม ถ้าอย่างงั้นขอพูดอีกรอบนะพี่สาว!!,Ch2_D02_02,,,,Dialogue,,,
Ch2_D02_02,เด็กสาว,Director's daughter_smile,ยินดีต้อนรับสู่ โบราณสถาน ของอควาเรียมนะพี่สาว!! ,Ch2_D02_03,,,,Dialogue,,,
Ch2_D02_03,เด็กสาว,Director's daughter_normal,ภายในโบราณสถานค่อนข้างซับซ้อนเพราะเป็นเขาวงกตนะพี่สาว,Ch2_D02_04,,,,Dialogue,,,
Ch2_D02_04,เด็กสาว,Director's daughter_smile,หนูขอให้คำแนะนำละกันว่า....,Ch2_D02_05,,,,Dialogue,,,
Ch2_D02_05,เด็กสาว,Director's daughter_normal,ให้สังเกตที่พื้นไว้ถ้าเกิดเห็นสิ่งที่ผิดปกติอย่างรอยเลือด..หรืออะไรก็ตามที่ไม่ควรจะอยู่...,Ch2_D02_06,,,,Dialogue,,,
Ch2_D02_06,เด็กสาว,Director's daughter_normal,ให้ลองเดินตามไปดู....,Ch2_D02_07,,,,Dialogue,,,
Ch2_D02_07,เด็กสาว,Director's daughter_smilebad,แต่ถ้าเกิดว่าเกิดเหตุการณ์ที่เรียกว่า The Blood ละก็....,Ch2_D02_08,,,,Dialogue,,,
Ch2_D02_08,เด็กสาว,Director's daughter_smilebad,จงอย่าได้เดินตามรอยเลือดโดยเด็ดขาด..แต่ให้เดินทางตรงข้าม...  ,Ch2_D02_09,,,,Dialogue,,,
Ch2_D02_09,เด็กสาว,Director's daughter_normal,พวกวิญญาณร้ายก็ชอบหลอกอะไรคนตายแหละ,Ch2_D02_10,,,,Dialogue,,,
Ch2_D02_10,เด็กสาว,Director's daughter_smile,อ่าาา...  ยกเว้นเส้นทางตรงกลางถ้ามีรอยเลือดก็สามารถเดินได้ตามปกติเลย  ,Ch2_D02_11,,,,Dialogue,,,
Ch2_D02_11,เด็กสาว,Director's daughter_smilebad,ขอให้โชคดีกับการผจญภัยใน  โบราณสถาน  นะ พี่ ส า ว,,,,,Dialogue,girllaughter,,
,,,,,,,,,,,
,Note,,เขาโบราณถานครั้งแรก,,,,,,,,
,,,,,,,,,,,
