Id;Character;CharacterImage;Dialogue;Chioce1;Chioce2;Choice1Text;Choice2Text;Type;Sound;Note
;;;;;;;;;;
;Note;;เดินเข้าไปคุยกับตัวลูกสาว,ชนกับจุด Object;;;;;;;
;;;;;;;;;;
Ch4_D01_01;เด็กสาว;Director's daughter_smile;สวัสดีพี่สาวและนี้ก็เป็นจุดสุดท้ายแล้วนะ;Ch4_D01_02;;;;Dialogue;;
Ch4_D01_02;เด็กสาว;Director's daughter_normal;"น่ั้นก็คือ ""อควาเรียม"" ไงล่ะ จุดชมสัตว์น้ำที่ยิ่งใหญ่ที่สุดในเกาะ";Ch4_D01_03;;;;Dialogue;;
Ch4_D01_03;เด็กสาว;Director's daughter_normal;คำแนะนำที่ให้พี่ได้สำหรับสถานที่แห่งนี้ก็คือ...;Ch4_D01_04;;;;Dialogue;;
Ch4_D01_04;เด็กสาว;Director's daughter_smile;"ที่นี้มีสิ่งเรียกว่า "" The Shadow ""  เป็นปิศาจที่อาศัยอยู่ที่อควาเรียมแห่งนี้...";Ch4_D01_05;;;;Dialogue;;
Ch4_D01_05;เด็กสาว;Director's daughter_smile;อืม...ถ้าจำไม่ผิด... The Shadow เป็นปิศาจที่จะกลืนกินและโจมตีผ่านเงานะ;Ch4_D01_06;;;;Dialogue;;
Ch4_D01_06;เด็กสาว;Director's daughter_normal;ถ้าพี่สาวจะหนีหรือหลบหนูขอแนะนำว่า..;Ch4_D01_07;;;;Dialogue;;
Ch4_D01_07;เด็กสาว;Director's daughter_smilebad;""" ให้หาพื้นที่ที่ไม่มีเงาสะท้อนหรือหลบอยู่หลังกำแพงก็ได้ """;Ch4_D01_08;;;;Dialogue;;
Ch4_D01_08;เด็กสาว;Director's daughter_smilebad;""" แต่ถ้าไม่มีแนะนำให้พี่สาวขึ้นลิฟต์ไปชั้นอื่นดีกว่าปิศาจจะไม่ตามไปนะ... """;Ch4_D01_09;;;;Dialogue;;
Ch4_D01_09;เด็กสาว;Director's daughter_normal;อืม...แล้วก็มีข่าวลือเกี่ยวกับอคาเรียมว่า..;Ch4_D01_10;;;;Dialogue;;
Ch4_D01_10;เด็กสาว;Director's daughter_normal;""" อควาเรียมแห่งนี้มีชั้นลับที่ต้องใช้รหัสผ่าน """;Ch4_D01_11;;;;Dialogue;;
Ch4_D01_11;เด็กสาว;Director's daughter_normal;แต่หนูก็ไม่รู้เหมือนกันว่ารหัสผ่านคืออะไรอะนะ..บ้างที่พี่สาวอาจจะต้องไปตามหารหัสผ่านด้วยตัวเองนะ...;Ch4_D01_12;;;;Dialogue;;
Ch4_D01_12;เด็กสาว;Director's daughter_smile;ขอให้โชคดีนะพี่สาว!!!;;;;;Dialogue;;
;;;;;;;;;;
;Note;;เจอเดินชนบริเวณหน้าหนังสือ;;;;;;;
;;;;;;;;;;
Ch4_D02_01;อเมเลีย;CutSceneS5_1;หืม...นั้นมันอะไรนะ....;Ch4_D02_02;;;;CutScene;;
Ch4_D02_02;อเมเลีย;CutSceneS5_1;สมุด?..ใครมาทำตกไว้ที่นี้ละ..หรือว่า..บางที่ในนั้นอาจมีรหัสลงไปชั้นใต้ดินได้...;Ch4_D02_03;;;;CutScene;;
Ch4_D02_03;อเมเลีย;CutSceneS5_2;เอ๋!?...เมื่อกี้มันเสียงอะไรนะ...;Ch4_D02_04;;;;CutScene;;
Ch4_D02_04;อเมเลีย;CutSceneS5_2;เหมือนดังมาจากในน้ำเลยแฮะ...แต่ว่าในตู้ก็ไม่มีอะไร...;Ch4_D02_05;;;;CutScene;;
Ch4_D02_05;อเมเลีย;CutSceneS5_3;!!!;Ch4_D02_06;;;;CutScene;;
Ch4_D02_06;อเมเลีย;CutSceneS5_3;อะ..อะไรนะ!!!;Ch4_D02_07;;;;CutScene;;
Ch4_D02_07;???;CutSceneS5_3;ชะ..ช่วยด้วย...ได้..โปรดอย่าทิ้งฉัน....;Ch4_D02_08;;;;CutScene;;
Ch4_D02_08;อเมเลีย;CutSceneS5_3;กรื๊ดดดด!!! ต้องรีบหนี!!;Ch4_D02_09;;;;CutScene;;
Ch4_D02_09;???;CutSceneS5_3;ไม่นะ ไม่นะ...;Ch4_D02_10;;;;CutScene;;
Ch4_D02_10;???;CutSceneS5_3;อ๊ากกกก!!! อย่าทิ้งฉันน!!!!;;;;;CutScene;;
;;;;;;;;;;
;Note;;เก็บสมุด;;;;;;;
;;;;;;;;;;
